Year,Commodity Name,Insurance Plan Name Abbreviation,Stage Code,Cause of Loss,Month of Loss,# of Policies Paid Out,Avg premium per policy,Avg amout paid out per policy
2023,Corn,RP,Unharvested,Heat,JUN,2,"$1,281.00","$7,462.00"
2023,Corn,RP,Unharvested,Heat,JUL,3,"$1,252.83","-$2,957.33"
2023,Corn,RP,Harvested,Heat,MAY,2,"$3,159.00","$21,741.50"
2023,Corn,RP,Unharvested,Hail,AUG,2,"$5,195.37","$31,601.76"
2023,Corn,RP,Harvested,Hail,MAY,2,$64.00,$108.50
2023,Corn,RP,Harvested,Hail,NOV,3,$931.00,"$6,117.00"
2023,Corn,RP,Harvested,Hail,JUN,2,"$1,223.00","$15,639.00"
2023,Corn,RP,Harvested,Hail,JUL,8,"$2,829.20","$7,511.98"
2023,Corn,RP,Unharvested,Hail,JUL,6,"$5,574.27","$46,257.55"
2023,Corn,RP,Replanted,Excess Moisture/Precipitation/Rain,MAY,6,"$1,190.33","$2,054.33"
2023,Corn,MP,Final Loss Payment,ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,JUN,1,"$67,251.00","$159,464.00"
2023,Corn,ECO-RPHPE,Final Loss Payment,ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,JUN,2,"$3,947.50","$12,021.50"
2023,Corn,MP-HPO,Final Loss Payment,ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,JUN,27,"$12,110.48","$26,292.26"
2023,Corn,ECO-RP,Final Loss Payment,ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,JUN,41,"$7,592.95","$26,156.12"
2023,Corn,ARP,Final Loss Payment,ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,JUN,1,"$4,634.00","$18,065.00"
2023,Corn,SCO-RP,Final Loss Payment,ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,JUN,17,"$1,570.06","$9,141.65"
2023,Corn,RP,Harvested,Insects,JUL,1,"$3,225.00","$11,439.00"
2023,Corn,RP,Harvested,Insects,JUN,1,$220.50,-$10.00
2023,Corn,RP,Unharvested,Insects,JUN,1,$220.50,"$8,624.00"
2023,Corn,RP,Unharvested,Insects,AUG,1,"$1,208.00","$14,348.00"
2023,Corn,RP,Harvested,Plant Disease,JUL,1,"$3,116.00","-$11,252.00"
2023,Corn,RP,Unharvested,Plant Disease,AUG,3,"$6,281.67","$46,778.67"
2023,Corn,RP,Harvested,Plant Disease,SEP,1,$612.00,"$17,288.50"
2023,Corn,RP,Unharvested,Plant Disease,JUL,1,"$9,570.00","$165,908.00"
2023,Corn,RP,Unharvested,"Other (Snow, Lightning, Etc.)",AUG,3,"$3,007.50","$12,196.00"
2023,Corn,RP,Harvested,"Other (Snow, Lightning, Etc.)",AUG,1,"$1,322.50","$8,952.00"
2022,Corn,RP,Unharvested,Decline in Price,AUG,2,"$5,176.50","$33,177.50"
2022,Corn,RP,Unharvested,Drought,AUG,56,"$7,103.71","$46,167.93"
2022,Corn,YP,Unharvested,Drought,JUL,2,"$3,671.50","$28,084.00"
2022,Corn,RPHPE,Replanted,Drought,MAY,1,"$3,829.00","$1,772.00"
2022,Corn,RP,Harvested,Drought,JUN,30,"$2,890.35","$16,879.91"
2022,Corn,RP,Unharvested,Drought,JUL,117,"$7,779.52","$50,645.85"
2022,Corn,RP,Harvested,Drought,MAY,1,"$2,526.50","$12,867.00"
2022,Corn,RP,Unharvested,Drought,JUN,14,"$1,923.07","$18,902.43"
2022,Corn,RP,Replanted,Drought,MAY,2,"$1,594.00","$3,432.50"
2022,Corn,RP,Harvested,Drought,OCT,21,"$3,756.29","$25,654.71"
2022,Corn,RP,Harvested,Drought,JUL,133,"$3,846.09","$21,472.14"
2022,Corn,RP,Harvested,Drought,SEP,10,"$10,718.63","$57,540.90"
2022,Corn,YP,Unharvested,Drought,AUG,3,"$1,505.33","$24,153.00"
2022,Corn,RP,Unharvested,Drought,NOV,1,"$3,167.00","$1,237.00"
2022,Corn,RP,Harvested,Drought,AUG,32,"$4,489.99","$30,847.14"
2022,Corn,RP,Unharvested,Drought,SEP,14,"$11,590.86","$79,435.64"
2022,Corn,RP,Unharvested,Drought,APR,4,"$2,757.13","$38,316.50"
2022,Corn,RP,Harvested,Drought,NOV,9,"$4,673.94","$4,508.11"
2022,Corn,RP,Unharvested,Drought,OCT,1,"$18,027.00","$71,542.00"
2022,Corn,RP,Unharvested,Heat,AUG,2,"$7,955.50","$40,369.50"
2022,Corn,RP,Harvested,Heat,JUN,3,"$5,730.67","$24,034.83"
2022,Corn,RP,Unharvested,Heat,JUN,1,"$4,871.00","-$24,376.00"
2022,Corn,RP,Harvested,Heat,JUL,1,"$2,906.50","$10,227.50"
2022,Corn,RP,Unharvested,Heat,JUL,2,"$2,886.00","$52,960.50"
2022,Corn,RP,Harvested,Failure of Irrigation Supply,NOV,1,"$2,435.00","$18,013.00"
2022,Corn,RP,Harvested,Hail,SEP,1,"$2,272.25","$6,872.00"
2022,Corn,RP,Replanted,Cold Wet Weather,MAY,1,"$4,974.00","$1,001.00"
2022,Corn,ECO-RP,Final Loss Payment,ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,JUN,37,"$5,484.03","$15,021.27"
2022,Corn,MP-HPO,Final Loss Payment,ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,JUN,18,"$13,171.33","$82,734.78"
2022,Corn,ARP,Final Loss Payment,ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,JUN,2,"$4,412.00","$4,117.50"
2022,Corn,MP-HPO,Final Loss Payment,ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,JUL,1,"$1,632.00","$11,084.00"
2022,Corn,ECO-YP,Final Loss Payment,ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,JUN,1,$798.00,"$5,610.00"
2022,Corn,AYP,Final Loss Payment,ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,JUN,3,"$3,652.00","$12,421.67"
2022,Corn,RP,Unharvested,Hot Wind,JUL,1,"$19,496.00","$13,838.00"
2022,Corn,RP,Harvested,Hot Wind,JUL,1,$561.00,"-$6,644.00"
2022,Corn,RP,Unharvested,"Other (Snow, Lightning, Etc.)",SEP,2,"$2,970.00","-$14,198.00"
2021,Corn,RP,Harvested,Decline in Price,JUL,1,"$2,818.00","$4,898.00"
2021,Corn,RP,Harvested,Drought,AUG,2,"$1,942.00","$1,492.50"
2021,Corn,RP,Harvested,Drought,JUN,2,$455.50,"$1,209.50"
2021,Corn,RP,Unharvested,Drought,JUN,5,$894.60,"$5,926.00"
2021,Corn,RP,Replanted,Drought,MAY,1,"$1,729.00","$2,059.00"
2021,Corn,RP,Harvested,Drought,JUL,4,"$1,997.00","$21,788.00"
2021,Corn,RP,Unharvested,Drought,AUG,2,"$2,005.50","$3,171.00"
2021,Corn,RP,Unharvested,Drought,JUL,3,"$4,615.33","$19,364.00"
2021,Corn,RP,Unharvested,Hail,JUL,11,"$1,958.94","$18,955.05"
2021,Corn,RP,Harvested,Hail,JUL,9,"$2,656.90","$30,790.07"
2021,Corn,RP,Harvested,Hail,AUG,9,"$1,698.60","$19,474.27"
2021,Corn,RP,Unharvested,Hail,AUG,9,"$1,998.47","$16,673.38"
2021,Corn,RP,Harvested,Hail,OCT,1,"$7,103.00",$2.00
2021,Corn,RP,Harvested,Hail,NOV,1,$963.00,"$7,327.00"
2021,Corn,RP,Unharvested,Wind/Excess Wind,JUL,1,"$1,774.00","$30,920.00"
2021,Corn,RP,Unharvested,Insects,OCT,1,"$3,856.00","$5,537.00"
2021,Corn,YP,Harvested,"Other (Snow, Lightning, Etc.)",SEP,1,$655.00,$847.00
2020,Corn,RP,Unharvested,Decline in Price,AUG,1,$843.00,"-$12,774.00"
2020,Corn,RP,Harvested,Decline in Price,NOV,1,"$2,597.00","$7,296.00"
2020,Corn,RP,Harvested,Decline in Price,AUG,1,$821.00,"$2,341.00"
2020,Corn,RP,Harvested,Drought,NOV,9,"$3,435.22","$5,474.00"
2020,Corn,RP,Unharvested,Drought,JUL,18,"$1,922.28","$17,641.05"
2020,Corn,RP,Unharvested,Drought,JUN,11,"$2,216.98","$12,643.85"
2020,Corn,RP,Harvested,Drought,JUN,19,$951.92,"$7,623.29"
2020,Corn,RP,Harvested,Drought,AUG,83,"$2,038.31","$8,250.35"
2020,Corn,RP,Harvested,Drought,OCT,13,"$2,374.54","$7,982.92"
2020,Corn,RP,Unharvested,Drought,SEP,11,"$2,045.03","$10,631.74"
2020,Corn,RP,Harvested,Drought,SEP,6,"$1,352.03","$6,161.43"
2020,Corn,RPHPE,Harvested,Drought,JUL,1,$785.00,$84.00
2020,Corn,RPHPE,Harvested,Drought,NOV,1,"$1,347.00","$21,878.00"
2020,Corn,YP,Unharvested,Drought,SEP,1,"$4,765.00","$12,936.00"
2020,Corn,RPHPE,Unharvested,Drought,AUG,1,"$1,031.00","$35,342.00"
2020,Corn,RP,Harvested,Drought,JUL,19,"$1,628.63","$9,957.92"
2020,Corn,RP,Unharvested,Drought,AUG,44,"$3,165.31","$13,493.91"
2020,Corn,RP,Harvested,Drought,DEC,1,"$1,224.00","$4,846.00"
2020,Corn,RPHPE,Unharvested,Drought,JUL,1,$980.00,"$26,153.60"
2020,Corn,RP,Unharvested,Drought,NOV,1,"$3,616.00","$20,443.00"
2020,Corn,RP,Unharvested,Heat,JUN,2,$679.00,$470.00
2020,Corn,RPHPE,Unharvested,Heat,JUL,1,$245.00,"$6,538.40"
2020,Corn,RP,Unharvested,Hail,NOV,1,"$13,763.00","$37,779.00"
2020,Corn,RP,Unharvested,Hail,JUN,1,$791.25,"$5,586.45"
2020,Corn,RP,Harvested,Hail,JUN,1,$175.00,"$2,783.75"
2020,Corn,RP,Prevented Planting - Unplanted Acreage with 5% buyup option,Excess Moisture/Precipitation/Rain,MAY,1,"$1,086.00","$17,294.40"
2020,Corn,RP,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,MAY,3,$968.00,"$11,555.33"
2020,Corn,RP,Prevented Planting - Unplanted Acreage with 5% buyup option,Excess Moisture/Precipitation/Rain,APR,1,$724.00,"$11,529.60"
2020,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,JUN,1,"$2,692.50","$9,254.00"
2020,Corn,RP,Prevented Planting - Unplanted Acreage with 5% buyup option,Excess Moisture/Precipitation/Rain,DEC,1,$335.00,"$5,281.00"
2020,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,JUN,1,$80.00,"$1,305.00"
2020,Corn,RPHPE,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,JUL,1,"$1,764.00","$19,325.00"
2020,Corn,RP,Harvested,Cold Wet Weather,JUL,1,$267.00,"$10,118.00"
2020,Corn,RP,Prevented Planting - Unplanted Acreage with 5% buyup option,Flood,APR,1,"$1,811.00","$40,819.00"
2020,Corn,RP,Reduced Prevented Planting,Flood,JUN,1,$390.00,"$15,253.00"
2020,Corn,RP,Harvested,Wind/Excess Wind,OCT,1,$219.20,$567.20
2020,Corn,RP,Harvested,Wind/Excess Wind,JUL,1,$67.00,"$1,486.00"
2020,Corn,RP,Unharvested,Insects,SEP,1,$905.00,"$1,148.00"
2020,Corn,RP,Unharvested,"Other (Snow, Lightning, Etc.)",SEP,3,$558.00,"$2,703.67"
2020,Corn,RP,Harvested,"Other (Snow, Lightning, Etc.)",SEP,1,"$1,609.00","$10,335.00"
2020,Corn,RP,Unharvested,"Other (Snow, Lightning, Etc.)",AUG,2,$794.00,$363.00
2019,Corn,RP,Harvested,Decline in Price,NOV,21,"$1,586.33","$3,174.88"
2019,Corn,RP,Harvested,Decline in Price,OCT,3,"$1,189.25",$277.00
2019,Corn,RP,Unharvested,Decline in Price,NOV,11,$633.37,"$1,575.59"
2019,Corn,RP,Unharvested,Decline in Price,SEP,1,"$4,440.00","$2,884.00"
2019,Corn,RP,Unharvested,Decline in Price,OCT,1,$233.00,"-$1,364.00"
2019,Corn,RP,Unharvested,Hail,AUG,1,$701.30,"$2,372.20"
2019,Corn,RP,Harvested,Hail,AUG,1,"$3,975.00","$18,884.00"
2019,Corn,RPHPE,Not Replanted,Excess Moisture/Precipitation/Rain,JUN,0,#DIV/0!,?
2019,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,JUL,3,"$4,443.83","$19,037.67"
2019,Corn,RP,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,MAR,2,"$2,737.50","$29,675.50"
2019,Corn,RPHPE,Harvested,Excess Moisture/Precipitation/Rain,JUN,1,$132.00,$216.00
2019,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,JUL,2,$800.13,-$753.75
2019,Corn,RPHPE,Harvested,Excess Moisture/Precipitation/Rain,JUL,1,$153.00,"$1,964.00"
2019,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,OCT,5,"$2,113.00","$6,106.40"
2019,Corn,RPHPE,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,JUN,1,"$2,942.00","$73,084.00"
2019,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,OCT,4,"$1,073.00","$8,076.00"
2019,Corn,YP,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,MAY,2,$253.50,"$9,005.00"
2019,Corn,RPHPE,Harvested,Excess Moisture/Precipitation/Rain,OCT,1,$991.00,"$3,444.00"
2019,Corn,RP,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,JUN,30,$993.18,"$18,097.23"
2019,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,MAY,5,"$1,323.72","$5,791.81"
2019,Corn,RP,Replanted,Excess Moisture/Precipitation/Rain,MAY,27,"$1,209.46",$691.44
2019,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,APR,1,"$1,083.00","$7,815.00"
2019,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,JUN,14,"$1,929.86","$10,048.81"
2019,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,APR,4,"$1,219.00","$8,120.00"
2019,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,AUG,2,$991.00,"$4,633.50"
2019,Corn,RP,Prevented Planting - Unplanted Acreage with 5% buyup option,Excess Moisture/Precipitation/Rain,MAY,3,"$2,454.67","$35,794.00"
2019,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,NOV,5,"$3,083.46","$12,167.02"
2019,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,SEP,9,"$2,435.86","$11,614.41"
2019,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,DEC,2,$989.75,"$11,237.00"
2019,Corn,RPHPE,Replanted,Excess Moisture/Precipitation/Rain,JUN,1,$216.00,$730.00
2019,Corn,RPHPE,Harvested,Excess Moisture/Precipitation/Rain,MAY,2,$765.25,"$5,341.50"
2019,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,SEP,15,"$1,562.48","$9,759.09"
2019,Corn,YP,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,JUN,1,$290.00,"$22,206.00"
2019,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,JUN,38,"$1,914.91","$11,754.13"
2019,Corn,YP,Replanted,Excess Moisture/Precipitation/Rain,MAY,1,"$3,832.00",$688.00
2019,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,AUG,2,"$3,322.85","$10,879.10"
2019,Corn,RP,Prevented Planting - Unplanted Acreage with 5% buyup option,Excess Moisture/Precipitation/Rain,JUN,1,"$3,831.00","$108,186.00"
2019,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,NOV,1,"$2,630.00","$60,877.00"
2019,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,MAY,5,"$1,259.90","$4,075.60"
2019,Corn,RPHPE,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,SEP,1,$76.00,"$4,120.00"
2019,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,DEC,1,$687.50,$68.00
2019,Corn,RP,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,APR,5,$472.40,"$10,998.00"
2019,Corn,YP,Unharvested,Excess Moisture/Precipitation/Rain,JUL,1,"$1,286.00","$11,328.00"
2019,Corn,RP,Replanted,Excess Moisture/Precipitation/Rain,JUN,23,"$2,011.02","$1,452.35"
2019,Corn,RP,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,MAY,19,$625.97,"$16,751.79"
2019,Corn,RPHPE,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,JUL,1,"$1,831.00","$19,584.00"
2019,Corn,YP,Harvested,Excess Moisture/Precipitation/Rain,APR,1,$662.00,"$6,594.00"
2019,Corn,RPHPE,Unharvested,Excess Moisture/Precipitation/Rain,MAY,1,$554.50,$626.00
2019,Corn,RP,Reduced Prevented Planting,Cold Wet Weather,APR,1,$134.50,"$4,801.50"
2019,Corn,RP,Harvested,Cold Wet Weather,MAY,2,$863.50,"$7,134.25"
2019,Corn,RP,Harvested,Cold Wet Weather,APR,1,$347.00,"-$1,146.50"
2019,Corn,RP,Unharvested,Cold Wet Weather,APR,1,"$1,049.00","$2,564.50"
2019,Corn,RP,Unharvested,Cold Wet Weather,SEP,2,$712.00,"$5,220.00"
2019,Corn,RP,Replanted,Cold Wet Weather,MAY,1,$189.00,$333.00
2019,Corn,RP,Reduced Prevented Planting,Cold Wet Weather,MAY,2,$69.25,"$2,570.75"
2019,Corn,RP,Unharvested,Cold Wet Weather,MAY,1,"$1,049.00","$2,564.50"
2019,Corn,RP,Harvested,Flood,JUL,1,$865.50,"$1,647.00"
2019,Corn,RP,Harvested,Flood,NOV,1,$112.00,"$2,262.00"
2019,Corn,ARP,Final Loss Payment,ARPI/SCO/STAX/MP Crops Only,APR,1,"$1,007.00","$10,690.00"
2019,Corn,RP,Unharvested,Wind/Excess Wind,JUL,6,$667.16,"$2,716.01"
2019,Corn,RP,Harvested,Wind/Excess Wind,JUL,12,"$1,474.61","$9,168.88"
2019,Corn,RP,Harvested,Wind/Excess Wind,SEP,3,$106.67,"$1,886.33"
2019,Corn,RP,Unharvested,Wind/Excess Wind,SEP,3,"$1,883.67","$7,199.00"
2019,Corn,RP,Unharvested,"Other (Snow, Lightning, Etc.)",OCT,1,"$1,537.00","$1,545.00"
2019,Corn,RP,Unharvested,"Other (Snow, Lightning, Etc.)",SEP,5,"$2,818.90","$8,426.00"
2018,Corn,RP,Unharvested,Decline in Price,DEC,1,"$2,162.00","$8,613.00"
2018,Corn,RP,Harvested,Decline in Price,NOV,28,"$1,765.31","$2,051.90"
2018,Corn,RP,Harvested,Decline in Price,DEC,4,"$2,572.50","$3,624.75"
2018,Corn,RP,Unharvested,Decline in Price,SEP,1,"$15,450.00","$22,240.00"
2018,Corn,RP,Harvested,Decline in Price,JUN,1,"$7,892.00","$9,500.00"
2018,Corn,RP,Harvested,Decline in Price,AUG,4,"$1,811.75","$4,218.00"
2018,Corn,RP,Harvested,Decline in Price,JUL,1,$333.00,$797.00
2018,Corn,RP,Harvested,Decline in Price,OCT,2,"$2,073.74","$1,755.80"
2018,Corn,RP,Harvested,Decline in Price,SEP,1,"$15,662.00","$26,796.00"
2018,Corn,RP,Unharvested,Decline in Price,AUG,3,"$3,662.33","$1,454.00"
2018,Corn,RP,Unharvested,Decline in Price,NOV,6,$800.12,"$2,201.47"
2018,Corn,RP,Harvested,Hail,NOV,1,"$3,018.00","$3,169.00"
2018,Corn,RP,Harvested,Hail,AUG,5,$849.21,"$2,458.20"
2018,Corn,RP,Unharvested,Hail,AUG,4,"$2,610.06","$27,089.13"
2018,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,AUG,3,"$1,141.70","$6,943.53"
2018,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,JUN,6,"$1,083.04","$10,896.25"
2018,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,NOV,2,"$2,050.00","$2,866.00"
2018,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,JUL,14,"$2,258.04","$12,535.21"
2018,Corn,YP,Harvested,Excess Moisture/Precipitation/Rain,JUN,1,$456.39,"$1,858.89"
2018,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,JUN,35,"$1,299.08","$5,544.15"
2018,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,APR,2,$458.25,"$2,571.00"
2018,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,SEP,1,"$3,973.00","$24,181.00"
2018,Corn,YP,Harvested,Excess Moisture/Precipitation/Rain,JUL,1,$456.39,"$1,858.89"
2018,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,OCT,2,"$1,766.00","-$19,648.00"
2018,Corn,RP,Unharvested,Excess Moisture/Precipitation/Rain,JUL,6,$928.75,"$5,217.33"
2018,Corn,YP,Harvested,Excess Moisture/Precipitation/Rain,AUG,1,$470.22,"$1,915.22"
2018,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,APR,1,"$1,440.00","$4,576.00"
2018,Corn,RP,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,JUL,1,$469.00,"$17,990.00"
2018,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,AUG,10,$803.44,"$5,855.91"
2018,Corn,RP,Harvested,Excess Moisture/Precipitation/Rain,DEC,3,"$2,068.67","$8,585.00"
2018,Corn,RP,Replanted,Cold Wet Weather,MAY,1,"$1,413.00","$4,541.00"
2018,Corn,RP,Harvested,Flood,OCT,1,"$1,970.00","$19,675.00"
2018,Corn,RP,Unharvested,Flood,AUG,3,"$1,152.75","$13,538.75"
2018,Corn,RP,Unharvested,Flood,JUN,18,"$1,189.30","$23,901.41"
2018,Corn,RP,Harvested,Flood,JUL,9,$599.22,"$7,110.93"
2018,Corn,RP,Harvested,Flood,AUG,2,$523.50,"$2,286.00"
2018,Corn,RP,Unharvested,Flood,JUL,4,$959.63,"$24,883.50"
2018,Corn,RPHPE,Unharvested,Flood,JUN,2,$507.50,"$10,035.00"
2018,Corn,RPHPE,Harvested,Flood,JUN,2,$507.50,"-$3,087.00"
2018,Corn,RP,Harvested,Flood,JUN,21,$980.62,"$12,622.00"
2018,Corn,RP,Harvested,Flood,SEP,3,$861.83,"$13,380.77"
2018,Corn,RP,Harvested,Wind/Excess Wind,OCT,1,"$1,817.20","$6,250.00"
2018,Corn,RP,Third Party Damage - Appraised Acreage on Same Acreage,Federal or State Ordered Destruction,JUN,1,"$1,166.50",-$327.00
2018,Corn,RP,Harvested,"Other (Snow, Lightning, Etc.)",AUG,1,"$2,627.00","$1,710.00"
2018,Corn,RP,Unharvested,"Other (Snow, Lightning, Etc.)",JUN,1,$805.00,"$2,006.00"
2018,Corn,RP,Harvested,All Other Causes,AUG,2,$371.60,$975.20
2017,Corn,RP,Unharvested,Decline in Price,OCT,1,"$3,599.50",$258.00
2017,Corn,RP,Harvested,Decline in Price,AUG,1,"$7,192.00","$18,954.00"
2017,Corn,RP,Harvested,Decline in Price,SEP,3,"$1,320.33","$1,607.67"
2017,Corn,RP,Harvested,Decline in Price,JUL,2,$566.00,$783.00
2017,Corn,RP,Unharvested,Decline in Price,SEP,3,"$5,919.00","$12,504.67"
2017,Corn,RP,Unharvested,Decline in Price,JUL,1,$569.00,$247.00
2017,Corn,RP,Harvested,Decline in Price,NOV,14,"$1,729.84","$4,768.69"
2017,Corn,RP,Harvested,Decline in Price,OCT,2,"$4,950.75","$3,704.50"
2017,Corn,RP,Unharvested,Decline in Price,AUG,1,"$1,931.00",$312.00
2017,Corn,RP,Harvested,Decline in Price,DEC,1,"$1,722.00","$6,130.00"
